Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-04-13,33668.97,34054.99,33605.17,34029.69,34029.69,277230000,2023,4,13,3,0.42264656070698514,,33955.39599999999,,,,-38.20311860177753,-59.36416052307814,,,,0.0071942680268106685,258708000.0,
2023-04-12,33764.21,33895.43,33593.32,33646.5,33646.5,260300000,2023,4,12,2,-1.1260461085599194,,33905.294,,,,-56.77947866388422,-58.84722415123936,,,,-0.007390327347456371,260470000.0,
2023-04-11,33586.75,33781.29,33586.75,33684.79,33684.79,241430000,2023,4,11,1,0.11380084109788857,,33846.926,,,41.10867816413352,-67.63207439728285,-60.60419420044806,,,,-0.008589433384064149,258042000.0,
2023-04-10,33425.25,33590.24,33343.43,33586.52,33586.52,232920000,2023,4,10,0,-0.29173404376279244,,33766.794,,,39.4413168017697,-83.20328673088807,-65.12401270653606,,,,-0.01178856262861483,257720000.0,
2023-04-06,33420.96,33525.96,33325.37,33485.29,33485.29,258680000,2023,4,6,3,-0.30140068098748474,,33686.558000000005,,,42.43207360339593,-102.53009654518246,-72.60522947426534,,,,-0.011838943389500312,254112000.0,
2023-04-05,33394.6,33543.84,33376.27,33482.72,33482.72,286660000,2023,4,5,2,-0.007675011923147235,,33577.164000000004,,,55.22582136561963,-116.70876410287747,-81.42593639998776,,,,-0.0160733171533447,255998000.0,
2023-04-04,33594.79,33634.72,33275.62,33402.38,33402.38,283360000,2023,4,4,1,-0.23994466399385184,,33528.340000000004,,,45.93957249340899,-132.89628125944728,-91.72000537187968,,,,-0.0072554351864235755,260610000.0,
2023-04-03,33245.78,33632.9,33245.78,33601.15,33601.15,311890000,2023,4,3,0,0.5950773567632073,,33511.612,,,40.45043978466922,-128.20802511419606,-99.01760932034296,,,,-0.002483019784300211,274702000.0,
2023-03-31,32901.96,33291.0,32901.96,33274.15,33274.15,353740000,2023,3,31,4,-0.9731809774367828,,33449.138,33708.424,,34.23774970674758,-149.15929992787278,-109.04594744184892,33708.424,34198.44019957755,33218.40780042245,-0.009300457445427401,298866000.0,284506500.0
2023-03-30,32807.43,32905.8,32682.87,32859.03,32859.03,283380000,2023,3,30,3,-1.2475750695359666,0.6783867018617395,33323.886,33646.4675,,27.801097991164397,-196.9892810505189,-126.63461416358292,33646.4675,34232.86672990813,33060.06827009187,-0.01870254072758526,303806000.0,280960000.0
2023-03-29,32566.54,32728.04,32539.94,32717.6,32717.6,314110000,2023,3,29,2,-0.43041440967672706,0.6657157811912234,33170.862,33591.0395,,22.187793294376846,-243.50018613463908,-150.00772855779417,33591.0395,34302.2156117732,32879.8633882268,-0.022851190106419117,309296000.0,279503500.0
2023-03-28,32434.85,32551.01,32295.5,32394.25,32394.25,248560000,2023,3,28,1,-0.9883059882142886,0.6140294273404203,32969.236,33545.6585,,16.532292177797615,-302.95972503376834,-180.598127852989,33545.6585,34429.41982151224,32661.897178487758,-0.030181382284735325,302336000.0,275873000.0
2023-03-27,32276.72,32564.0,32276.72,32432.08,32432.08,291560000,2023,3,27,0,0.1167799841021333,0.5863674509071025,32735.422,33490.721000000005,,17.484485556094768,-343.0745236010771,-213.09340700260663,33490.721000000005,34505.2871724449,32476.15482755511,-0.0347925591832422,298270000.0,275557000.0
2023-03-24,32038.22,32257.24,31805.18,32237.53,32237.53,317070000,2023,3,24,4,-0.599869018576682,0.521518764470736,32528.097999999998,33408.8275,,16.824268859952866,-386.1134737765897,-247.69742035740325,33408.8275,34549.25819466852,32268.396805331482,-0.03115391377390564,290936000.0,278809500.0
